1.402	1.257	1.897
1.2	0.935	0.97
1.122	1.756	1.457
1.183	0.665	1.831
0.957	1.595	1.304
0.938	0.996	1.733
0.958	0.751	1.341
0.871	1.166	0.725
0.56	0.854	1.012
1.08	0.81	1.298
0.951	1.45	0.386
0.799	0.946	1.435
1.372	0.856	2.441
1.212	1.829	1.774
0.993	1.724	1.022
1.736	1.548	1.064
0.943	0.817	1.623
1.136	1.474	0.515
0.75	0.799	1.102
1.001	1.223	1.71
0.616	1.14	1.51
0.732	1.372	0.495
0.469	1.044	1.367
0.83	1.191	0.53
0.798	2.564	1.477
0.913	1.063	1.456
0.935	1.008	1.766
1.043	0.645	2.016
0.921	1.217	0.807
0.651	0.918	1.093
0.646	1.101	1.917
0.538	0.953	1.607
0.242	0.778	0.729
1.097	0.876	1.675
0.853	1.43	1.217
0.617	0.461	0.976
1.024	0.587	2.253
1.795	0.534	2.045
0.733	0.961	1.725
0.901	1.13	0.551
0.635	0.573	0.546
0.395	0.91	1.195
1.024	0.913	1.799
0.612	1.115	1.388
0.691	0.444	1.661
0.576	0.89	1.039
0.669	1.726	1.419
0.782	0.772	0.707
0.03	1.139	0.758
1.028	0.976	2.006
0.76	0.566	0.179
0.931	1.712	1.077
0.502	1.38	1.313
0.773	1.294	1.461
0.744	2.035	1.129
0.767	0.387	1.149
1.073	0.552	2.004
1.109	0.833	1.386
0.474	1.766	1.471
0.327	0.591	1.597
0.605	0.959	0.684
1.051	1.187	1.167
0.489	0.499	0.823
0.737	0.982	0.916
1.501	1.027	1.918
0.59	0.663	1.044
0.906	1.196	0.655
0.394	1.462	0.832
0.49	0.553	1.727
0.659	0.859	0.483
1.233	1.845	2.225
0.763	1.169	1.898
0.522	0.446	0.943
